,RUN,N_COMPONENTS,TOPICS_THRESHOLD,NEIGHBORS,QUANTILE_THRESHOLD,orig_avg_accuracy,nmf_avg_accuracy,lda_avg_accuracy,lda_w2v_avg_accuracy,nmf_avg_tags_number_accuracy,lda_avg_tags_number_accuracy,lda_w2v_avg_tags_number_accuracy,nmf_global_accuracy,lda_global_accuracy,lda_global_avg_accuracy,orig_med_accuracy,nmf_med_accuracy,lda_med_accuracy,lda_w2v_med_accuracy,orig_avg_tags_number,nmf_avg_tags_number,lda_avg_tags_number,lda_w2v_avg_tags_number,orig_med_tags_number,nmf_med_tags_number,lda_med_tags_number,lda_w2v_med_tags_number
43,43,10,0.3,10,0.8,0.5321383647798742,0.5806792452830188,0.5873207547169812,0.607069182389937,0.5640440663966434,0.5390444146576063,0.5548286281635102,0.575134185654227,0.5712286413638562,0.5896556643144614,0.5321383647798742,0.5806792452830188,0.5873207547169812,0.607069182389937,2.1192452830188677,6.506415094339623,8.213584905660378,6.471698113207547,2.0,6.0,10.0,6.0
44,44,10,0.3,15,0.75,0.5321383647798742,0.5922767295597484,0.596691823899371,0.6207169811320755,0.5290216305061218,0.5171653592971908,0.5189229444199787,0.5711916965418729,0.5701830023653109,0.5867856355613766,0.5321383647798742,0.5922767295597484,0.596691823899371,0.6207169811320755,2.1192452830188677,7.766037735849056,10.47622641509434,7.8233962264150945,2.0,7.0,13.0,8.0
45,45,10,0.3,15,0.8,0.5321383647798742,0.5847924528301887,0.596691823899371,0.606817610062893,0.5400810371593059,0.5184086697701337,0.5345400110003736,0.5698886476065611,0.5705974391896252,0.5827250770420532,0.5321383647798742,0.5847924528301887,0.596691823899371,0.606817610062893,2.1192452830188677,7.123018867924528,10.308679245283018,7.009811320754717,2.0,6.0,12.0,7.0
46,46,10,0.3,20,0.75,0.5321383647798742,0.6027798742138365,0.6123144654088051,0.6207798742138364,0.5101019510738215,0.5042125530480404,0.5069229315423917,0.5718872331671648,0.5762804946218835,0.5828275599900214,0.5321383647798742,0.6027798742138365,0.6123144654088051,0.6207798742138364,2.1192452830188677,8.57132075471698,12.450566037735848,8.318490566037736,2.0,8.0,14.0,8.0
47,47,10,0.3,20,0.8,0.5321383647798742,0.5949182389937107,0.611748427672956,0.6141761006289308,0.5224286186977155,0.5058453393463956,0.5233260118960122,0.5707550322283789,0.5764473982307692,0.5838927377179579,0.5321383647798742,0.5949182389937107,0.611748427672956,0.6141761006289308,2.1192452830188677,7.809811320754717,12.261132075471698,7.3690566037735845,2.0,7.0,14.0,7.0
48,48,10,0.35000000000000003,5,0.75,0.5321383647798742,0.5772327044025157,0.556251572327044,0.5997232704402515,0.5907522451014788,0.5725866602748314,0.5746303947972903,0.5817392179688368,0.5616966016429732,0.5913589785592644,0.5321383647798742,0.5772327044025157,0.556251572327044,0.5997232704402515,2.1192452830188677,5.550188679245283,5.582641509433962,5.786415094339622,2.0,5.0,6.0,6.0
49,49,10,0.35000000000000003,5,0.8,0.5321383647798742,0.5742767295597484,0.556251572327044,0.5968930817610063,0.602724596210099,0.5729634238503853,0.5909196392032615,0.5837593517765319,0.5618221895014911,0.594901934241758,0.5321383647798742,0.5742767295597484,0.556251572327044,0.5968930817610063,2.1192452830188677,5.243018867924528,5.551698113207547,5.407547169811321,2.0,5.0,6.0,5.0
50,50,10,0.35000000000000003,10,0.75,0.5321383647798742,0.581874213836478,0.5861257861635221,0.6081383647798742,0.5641195813416515,0.5420188594156845,0.5484080966107924,0.5759560030048692,0.5714234772475763,0.5882282753901803,0.5321383647798742,0.581874213836478,0.5861257861635221,0.6081383647798742,2.1192452830188677,6.603018867924528,8.089056603773585,6.804528301886792,2.0,6.0,10.0,7.0
51,51,10,0.35000000000000003,10,0.8,0.5321383647798742,0.5750188679245283,0.585685534591195,0.5997106918238992,0.5769697209830985,0.5428096140628128,0.5590212408092317,0.575669152277385,0.5713935610817343,0.5861475414856767,0.5321383647798742,0.5750188679245283,0.585685534591195,0.5997106918238992,2.1192452830188677,6.110188679245283,8.027924528301886,6.280754716981132,2.0,5.0,10.0,6.0
52,52,10,0.35000000000000003,15,0.75,0.5321383647798742,0.5861761006289309,0.5946792452830189,0.6136100628930817,0.5428565384129245,0.5236542247624202,0.5317934268174455,0.5717362465569288,0.5710042384428192,0.5863378508678697,0.5321383647798742,0.5861761006289309,0.5946792452830189,0.6136100628930817,2.1192452830188677,7.1562264150943395,10.116981132075471,7.320754716981132,2.0,6.0,12.0,7.0
